language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.536,0.786,0.635,0.851,0.061,0.070,0.051,0.028
Iraqw,0.377,0.760,0.493,0.901,0.093,0.126,0.080,0.022
Gawwada,0.179,0.603,0.254,0.916,0.158,0.379,0.201,0.021
Hausa,0.288,0.664,0.395,0.830,0.098,0.138,0.109,0.036
Kanuri,0.055,0.683,0.101,0.830,0.039,0.328,0.068,0.024
Tarifiyt Berber,0.695,0.773,0.731,0.750,0.053,0.062,0.045,0.042
Seychelles Creole,0.000,0.000,0.000,0.911,0.000,0.000,0.000,0.031
Romanian,0.412,0.623,0.493,0.663,0.056,0.060,0.038,0.030
Selice Romani,0.829,0.746,0.784,0.740,0.042,0.033,0.026,0.025
Lower Sorbian,0.215,0.752,0.328,0.831,0.084,0.110,0.106,0.041
Old High German,0.000,0.000,0.000,0.947,0.000,0.000,0.000,0.025
Dutch,0.010,0.200,0.019,0.815,0.016,0.350,0.031,0.030
English,0.510,0.685,0.584,0.720,0.029,0.047,0.024,0.018
Kildin Saami,0.003,0.050,0.006,0.805,0.010,0.158,0.019,0.028
Bezhta,0.689,0.757,0.720,0.840,0.045,0.070,0.044,0.033
Archi,0.249,0.687,0.359,0.814,0.078,0.099,0.084,0.031
Manange,0.045,0.300,0.079,0.937,0.073,0.483,0.127,0.025
Ket,0.207,0.750,0.315,0.930,0.132,0.362,0.180,0.023
Sakha,0.196,0.595,0.290,0.766,0.069,0.154,0.088,0.027
Oroqen,0.054,0.350,0.091,0.925,0.078,0.474,0.130,0.021
Japanese,0.413,0.680,0.513,0.768,0.068,0.092,0.076,0.047
Mandarin Chinese,0.000,0.000,0.000,0.993,0.000,0.000,0.000,0.007
Thai,0.104,0.630,0.175,0.794,0.054,0.091,0.077,0.019
Vietnamese,0.101,0.601,0.166,0.821,0.061,0.262,0.095,0.035
White Hmong,0.025,0.400,0.046,0.846,0.043,0.516,0.076,0.038
Ceq Wong,0.581,0.649,0.610,0.754,0.083,0.085,0.072,0.053
Indonesian,0.265,0.636,0.371,0.732,0.067,0.085,0.078,0.041
Malagasy,0.000,0.000,0.000,0.875,0.000,0.000,0.000,0.020
Takia,0.047,0.700,0.087,0.780,0.046,0.483,0.082,0.033
Hawaiian,0.022,0.400,0.041,0.843,0.031,0.516,0.057,0.030
Gurindji,0.000,0.000,0.000,0.875,0.000,0.000,0.000,0.036
Yaqui,0.567,0.794,0.658,0.861,0.072,0.069,0.053,0.018
Zinacantán Tzotzil,0.430,0.935,0.584,0.913,0.102,0.093,0.102,0.028
Q'eqchi',0.540,0.816,0.647,0.939,0.106,0.114,0.104,0.018
Otomi,0.673,0.854,0.751,0.957,0.090,0.054,0.069,0.011
Saramaccan,0.089,0.669,0.149,0.652,0.048,0.224,0.068,0.044
Imbabura Quechua,0.615,0.762,0.676,0.839,0.107,0.092,0.084,0.037
Kali'na,0.208,0.967,0.335,0.885,0.084,0.105,0.118,0.027
Hup,0.464,0.908,0.593,0.939,0.170,0.102,0.151,0.024
Wichí,0.518,0.698,0.583,0.900,0.150,0.129,0.129,0.024
Mapudungun,0.534,0.832,0.645,0.885,0.092,0.124,0.085,0.027
