language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.553,0.817,0.651,0.887,0.087,0.129,0.061,0.027
Iraqw,0.359,0.697,0.472,0.908,0.094,0.141,0.112,0.023
Hausa,0.263,0.675,0.352,0.923,0.115,0.282,0.138,0.023
Kanuri,0.079,0.397,0.126,0.907,0.109,0.442,0.161,0.018
Tarifiyt Berber,0.654,0.754,0.699,0.753,0.046,0.058,0.034,0.043
Romanian,0.020,0.250,0.037,0.830,0.035,0.425,0.065,0.034
Selice Romani,0.800,0.758,0.778,0.764,0.053,0.043,0.036,0.040
Lower Sorbian,0.188,0.778,0.293,0.884,0.084,0.231,0.104,0.026
Dutch,0.000,0.000,0.000,0.923,0.000,0.000,0.000,0.032
English,0.404,0.630,0.485,0.761,0.107,0.072,0.090,0.041
Kildin Saami,0.000,0.000,0.000,0.870,0.000,0.000,0.000,0.031
Bezhta,0.609,0.748,0.666,0.878,0.106,0.103,0.086,0.025
Ket,0.327,0.861,0.443,0.939,0.169,0.159,0.160,0.023
Sakha,0.314,0.760,0.422,0.856,0.124,0.168,0.109,0.033
Japanese,0.382,0.630,0.474,0.791,0.051,0.109,0.065,0.032
Thai,0.010,0.140,0.019,0.864,0.024,0.327,0.041,0.027
Vietnamese,0.095,0.546,0.156,0.832,0.060,0.209,0.085,0.040
White Hmong,0.000,0.000,0.000,0.887,0.000,0.000,0.000,0.034
Ceq Wong,0.592,0.666,0.626,0.769,0.076,0.099,0.083,0.037
Indonesian,0.023,0.300,0.043,0.917,0.042,0.483,0.076,0.032
Takia,0.053,0.700,0.095,0.815,0.056,0.483,0.097,0.035
Hawaiian,0.027,0.500,0.051,0.870,0.029,0.527,0.055,0.024
Yaqui,0.560,0.778,0.648,0.856,0.086,0.090,0.076,0.032
Zinacantán Tzotzil,0.404,0.936,0.553,0.912,0.115,0.072,0.119,0.018
Q'eqchi',0.547,0.813,0.650,0.941,0.116,0.141,0.122,0.022
Otomi,0.671,0.856,0.747,0.956,0.090,0.055,0.054,0.012
Saramaccan,0.036,0.448,0.063,0.771,0.030,0.418,0.049,0.031
Imbabura Quechua,0.625,0.802,0.697,0.853,0.107,0.060,0.073,0.035
Wichí,0.525,0.736,0.598,0.904,0.127,0.102,0.076,0.014
Mapudungun,0.569,0.837,0.674,0.898,0.086,0.073,0.074,0.021
