language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.700,0.633,0.663,0.828,0.054,0.067,0.054,0.032
Hausa,0.708,0.528,0.600,0.816,0.062,0.096,0.069,0.028
Tarifiyt Berber,0.773,0.775,0.772,0.778,0.049,0.032,0.021,0.013
Romanian,0.716,0.663,0.687,0.741,0.047,0.047,0.036,0.028
Selice Romani,0.874,0.883,0.878,0.861,0.049,0.032,0.034,0.039
Lower Sorbian,0.705,0.599,0.646,0.850,0.082,0.069,0.067,0.030
English,0.642,0.603,0.620,0.699,0.075,0.040,0.043,0.021
Bezhta,0.778,0.696,0.734,0.832,0.069,0.040,0.047,0.032
Sakha,0.628,0.555,0.587,0.780,0.050,0.070,0.047,0.037
Japanese,0.793,0.705,0.745,0.840,0.061,0.066,0.056,0.035
Thai,0.606,0.443,0.510,0.751,0.097,0.090,0.091,0.040
Ceq Wong,0.696,0.629,0.656,0.760,0.066,0.088,0.056,0.031
Indonesian,0.659,0.603,0.628,0.767,0.067,0.057,0.051,0.028
Takia,0.772,0.620,0.684,0.836,0.062,0.074,0.046,0.026
Yaqui,0.827,0.754,0.786,0.893,0.086,0.056,0.053,0.024
Saramaccan,0.608,0.576,0.590,0.703,0.074,0.042,0.052,0.029
Imbabura Quechua,0.846,0.780,0.809,0.889,0.053,0.064,0.042,0.028
