language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.800,0.661,0.721,0.851,0.065,0.062,0.040,0.023
Iraqw,0.729,0.523,0.603,0.880,0.137,0.109,0.115,0.036
Gawwada,0.606,0.350,0.425,0.859,0.121,0.162,0.150,0.026
Hausa,0.709,0.535,0.607,0.820,0.076,0.063,0.048,0.024
Kanuri,0.640,0.434,0.514,0.788,0.097,0.089,0.084,0.038
Tarifiyt Berber,0.784,0.786,0.783,0.789,0.050,0.065,0.044,0.040
Seychelles Creole,0.594,0.270,0.366,0.822,0.148,0.068,0.081,0.027
Romanian,0.716,0.706,0.710,0.766,0.045,0.074,0.053,0.043
Selice Romani,0.871,0.887,0.878,0.861,0.038,0.035,0.018,0.020
Lower Sorbian,0.735,0.610,0.664,0.854,0.035,0.061,0.033,0.017
Dutch,0.584,0.462,0.514,0.797,0.100,0.082,0.085,0.031
English,0.686,0.639,0.660,0.730,0.066,0.054,0.047,0.035
Kildin Saami,0.588,0.437,0.498,0.777,0.084,0.070,0.065,0.030
Bezhta,0.822,0.741,0.777,0.862,0.050,0.059,0.039,0.014
Archi,0.767,0.575,0.653,0.827,0.116,0.070,0.070,0.036
Ket,0.736,0.474,0.569,0.910,0.179,0.091,0.102,0.025
Sakha,0.666,0.611,0.635,0.810,0.045,0.078,0.056,0.030
Japanese,0.824,0.695,0.753,0.841,0.064,0.045,0.045,0.027
Thai,0.658,0.506,0.571,0.788,0.054,0.048,0.046,0.021
Vietnamese,0.647,0.419,0.506,0.774,0.082,0.070,0.068,0.029
White Hmong,0.588,0.349,0.436,0.763,0.146,0.102,0.115,0.054
Ceq Wong,0.818,0.701,0.748,0.821,0.074,0.094,0.057,0.035
Indonesian,0.667,0.618,0.639,0.774,0.061,0.067,0.050,0.032
Malagasy,0.635,0.333,0.435,0.794,0.084,0.040,0.049,0.038
Takia,0.785,0.610,0.684,0.834,0.062,0.083,0.067,0.030
Hawaiian,0.747,0.410,0.527,0.788,0.056,0.060,0.055,0.028
Gurindji,0.367,0.216,0.263,0.749,0.205,0.103,0.122,0.078
Yaqui,0.829,0.718,0.765,0.880,0.074,0.079,0.042,0.015
Zinacantán Tzotzil,0.886,0.746,0.807,0.939,0.058,0.054,0.028,0.018
Q'eqchi',0.832,0.619,0.703,0.928,0.064,0.120,0.081,0.019
Otomi,0.907,0.669,0.768,0.947,0.050,0.089,0.070,0.015
Saramaccan,0.622,0.565,0.588,0.694,0.085,0.076,0.059,0.045
Imbabura Quechua,0.843,0.786,0.811,0.891,0.072,0.086,0.063,0.036
Kali'na,0.678,0.470,0.550,0.848,0.141,0.139,0.134,0.029
Hup,0.848,0.624,0.715,0.936,0.171,0.112,0.126,0.026
Wichí,0.879,0.718,0.787,0.934,0.062,0.097,0.070,0.022
Mapudungun,0.798,0.643,0.710,0.874,0.120,0.100,0.102,0.038
