language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.860,0.621,0.717,0.872,0.060,0.105,0.084,0.034
Iraqw,0.775,0.548,0.635,0.897,0.069,0.117,0.090,0.024
Hausa,0.743,0.435,0.538,0.897,0.126,0.099,0.077,0.018
Kanuri,0.667,0.339,0.444,0.842,0.156,0.086,0.099,0.027
Tarifiyt Berber,0.755,0.731,0.741,0.771,0.046,0.058,0.039,0.038
Romanian,0.741,0.500,0.590,0.827,0.101,0.072,0.046,0.029
Selice Romani,0.899,0.899,0.898,0.895,0.035,0.034,0.017,0.014
Lower Sorbian,0.803,0.585,0.672,0.899,0.095,0.098,0.086,0.022
Dutch,0.509,0.360,0.412,0.893,0.171,0.124,0.124,0.025
English,0.669,0.574,0.611,0.759,0.091,0.086,0.060,0.038
Kildin Saami,0.603,0.403,0.477,0.834,0.134,0.098,0.095,0.028
Bezhta,0.800,0.655,0.717,0.872,0.086,0.094,0.076,0.034
Ket,0.716,0.474,0.568,0.914,0.130,0.071,0.083,0.026
Sakha,0.695,0.658,0.671,0.882,0.089,0.088,0.066,0.026
Japanese,0.866,0.678,0.759,0.864,0.040,0.069,0.055,0.030
Thai,0.725,0.486,0.578,0.857,0.102,0.101,0.092,0.029
Vietnamese,0.671,0.448,0.534,0.804,0.093,0.078,0.077,0.042
White Hmong,0.644,0.307,0.413,0.797,0.111,0.038,0.049,0.023
Ceq Wong,0.785,0.692,0.733,0.815,0.094,0.072,0.070,0.032
Indonesian,0.814,0.524,0.633,0.921,0.121,0.074,0.076,0.024
Takia,0.789,0.557,0.650,0.836,0.077,0.069,0.057,0.029
Hawaiian,0.767,0.387,0.508,0.809,0.115,0.095,0.092,0.025
Yaqui,0.834,0.709,0.764,0.880,0.075,0.088,0.073,0.031
Zinacantán Tzotzil,0.896,0.749,0.815,0.943,0.072,0.057,0.056,0.020
Q'eqchi',0.871,0.625,0.725,0.935,0.068,0.087,0.073,0.015
Otomi,0.906,0.695,0.784,0.951,0.042,0.066,0.041,0.012
Saramaccan,0.628,0.486,0.545,0.774,0.141,0.090,0.102,0.029
Imbabura Quechua,0.864,0.800,0.830,0.904,0.056,0.058,0.051,0.029
Wichí,0.897,0.711,0.788,0.933,0.090,0.084,0.064,0.026
Mapudungun,0.847,0.657,0.737,0.886,0.043,0.071,0.041,0.026
