Language,Precision,Recall,Fs,Accuracy
Swahili,0.87,1.00,0.93,0.99
Iraqw,0.80,1.00,0.89,0.99
Gawwada,0.75,1.00,0.86,0.99
Hausa,1.00,1.00,1.00,1.00
Kanuri,1.00,1.00,1.00,1.00
Tarifiyt Berber,0.50,1.00,0.67,0.98
Seychelles Creole,0.83,1.00,0.91,1.00
Romanian,0.69,1.00,0.82,0.98
Selice Romani,0.83,1.00,0.91,0.99
Lower Sorbian,0.78,1.00,0.88,0.99
Old High German,1.00,1.00,1.00,1.00
Dutch,0.89,1.00,0.94,0.99
English,0.83,1.00,0.91,0.99
Kildin Saami,1.00,1.00,1.00,1.00
Bezhta,1.00,1.00,1.00,1.00
Archi,1.00,1.00,1.00,1.00
Manange,0.50,1.00,0.67,0.99
Ket,0.67,1.00,0.80,0.98
Sakha,0.67,1.00,0.80,0.99
Oroqen,0.64,1.00,0.78,0.97
Japanese,1.00,1.00,1.00,1.00
Mandarin Chinese,1.00,1.00,1.00,1.00
Thai,0.87,1.00,0.93,0.99
Vietnamese,0.88,1.00,0.93,0.99
White Hmong,0.91,1.00,0.95,0.99
Ceq Wong,1.00,1.00,1.00,1.00
Indonesian,1.00,0.91,0.95,1.00
Malagasy,1.00,0.88,0.93,0.99
Takia,0.86,1.00,0.92,0.99
Hawaiian,0.80,1.00,0.89,0.99
Gurindji,0.50,1.00,0.67,0.99
Yaqui,1.00,1.00,1.00,1.00
Zinacantán Tzotzil,1.00,1.00,1.00,1.00
Q'eqchi',0.90,1.00,0.95,0.99
Otomi,0.88,1.00,0.93,1.00
Saramaccan,0.80,1.00,0.89,0.99
Imbabura Quechua,1.00,1.00,1.00,1.00
Kali'na,1.00,1.00,1.00,1.00
Hup,0.83,1.00,0.91,0.99
Wichí,0.92,0.92,0.92,0.99
Mapudungun,0.92,1.00,0.96,0.99
TOTAL/MEAN,0.86,0.99,0.91,0.99
