Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,1.00,1.00,1.00
Iraqw,0.95,0.88,0.91,0.98
Gawwada,0.95,0.90,0.93,0.99
Hausa,0.96,1.00,0.98,1.00
Kanuri,1.00,0.95,0.97,0.99
Tarifiyt Berber,0.69,0.90,0.78,0.97
Seychelles Creole,0.95,0.97,0.96,0.99
Romanian,0.79,0.85,0.81,0.97
Selice Romani,1.00,0.94,0.97,0.99
Lower Sorbian,0.97,0.94,0.95,0.99
Old High German,0.90,0.76,0.83,0.96
Dutch,0.64,0.58,0.61,0.92
English,0.89,0.67,0.76,0.95
Kildin Saami,0.95,0.67,0.78,0.96
Bezhta,0.85,0.81,0.83,0.97
Archi,0.78,0.95,0.86,0.97
Manange,0.90,0.82,0.86,0.97
Ket,0.96,0.74,0.84,0.96
Sakha,0.96,0.96,0.96,0.99
Oroqen,0.83,0.83,0.83,0.96
Japanese,0.97,1.00,0.99,1.00
Mandarin Chinese,0.94,1.00,0.97,1.00
Thai,0.95,0.72,0.82,0.95
Vietnamese,1.00,0.73,0.84,0.97
White Hmong,1.00,0.97,0.98,1.00
Ceq Wong,0.88,0.78,0.82,0.96
Indonesian,1.00,1.00,1.00,1.00
Malagasy,1.00,0.97,0.99,1.00
Takia,0.94,0.89,0.91,0.99
Hawaiian,0.96,1.00,0.98,1.00
Gurindji,0.94,1.00,0.97,0.99
Yaqui,1.00,0.96,0.98,1.00
Zinacantán Tzotzil,1.00,0.93,0.97,0.99
Q'eqchi',0.87,0.97,0.92,0.98
Otomi,0.98,0.96,0.97,0.99
Saramaccan,0.95,1.00,0.98,0.99
Imbabura Quechua,1.00,1.00,1.00,1.00
Kali'na,0.93,1.00,0.96,0.99
Hup,1.00,0.95,0.97,1.00
Wichí,1.00,0.95,0.98,1.00
Mapudungun,0.96,0.96,0.96,0.99
TOTAL/MEAN,0.93,0.90,0.91,0.98
