Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,1.00,1.00,1.00
Iraqw,1.00,0.93,0.97,0.99
Gawwada,1.00,1.00,1.00,1.00
Hausa,1.00,1.00,1.00,1.00
Kanuri,1.00,1.00,1.00,1.00
Tarifiyt Berber,1.00,0.82,0.90,0.98
Seychelles Creole,1.00,0.88,0.94,0.99
Romanian,0.95,0.91,0.93,0.99
Selice Romani,0.94,0.94,0.94,0.99
Lower Sorbian,1.00,0.90,0.95,0.99
Old High German,0.94,1.00,0.97,0.99
Dutch,1.00,0.80,0.89,0.98
English,0.92,1.00,0.96,0.99
Kildin Saami,1.00,0.83,0.91,0.99
Bezhta,1.00,1.00,1.00,1.00
Archi,1.00,0.79,0.88,0.98
Manange,1.00,0.93,0.96,0.99
Ket,1.00,0.67,0.80,0.98
Sakha,0.94,1.00,0.97,0.99
Oroqen,1.00,0.80,0.89,0.98
Japanese,1.00,0.96,0.98,1.00
Mandarin Chinese,1.00,1.00,1.00,1.00
Thai,1.00,0.95,0.98,1.00
Vietnamese,1.00,0.95,0.97,0.99
White Hmong,1.00,1.00,1.00,1.00
Ceq Wong,1.00,0.73,0.84,0.97
Indonesian,1.00,0.88,0.94,0.99
Malagasy,1.00,0.88,0.93,0.99
Takia,1.00,0.85,0.92,0.98
Hawaiian,1.00,0.92,0.96,0.99
Gurindji,1.00,1.00,1.00,1.00
Yaqui,1.00,1.00,1.00,1.00
Zinacantán Tzotzil,1.00,0.83,0.91,0.99
Q'eqchi',1.00,0.87,0.93,0.99
Otomi,1.00,1.00,1.00,1.00
Saramaccan,1.00,0.92,0.96,0.99
Imbabura Quechua,1.00,0.91,0.95,0.99
Kali'na,1.00,0.89,0.94,0.99
Hup,1.00,1.00,1.00,1.00
Wichí,1.00,0.92,0.96,0.99
Mapudungun,0.94,1.00,0.97,0.99
TOTAL/MEAN,0.99,0.92,0.95,0.99
