Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,1.00,1.00,1.00
Iraqw,1.00,0.90,0.95,0.99
Gawwada,1.00,1.00,1.00,1.00
Hausa,1.00,0.95,0.98,0.99
Kanuri,1.00,1.00,1.00,1.00
Tarifiyt Berber,1.00,0.94,0.97,0.99
Seychelles Creole,1.00,0.86,0.92,0.99
Romanian,1.00,0.89,0.94,0.99
Selice Romani,1.00,0.76,0.87,0.98
Lower Sorbian,1.00,0.82,0.90,0.99
Old High German,0.90,0.82,0.86,0.98
Dutch,0.81,0.87,0.84,0.97
English,1.00,1.00,1.00,1.00
Kildin Saami,1.00,0.91,0.95,0.99
Bezhta,1.00,0.90,0.95,0.99
Archi,1.00,1.00,1.00,1.00
Manange,1.00,0.77,0.87,0.97
Ket,1.00,1.00,1.00,1.00
Sakha,1.00,0.95,0.97,0.99
Oroqen,1.00,0.73,0.85,0.97
Japanese,1.00,0.96,0.98,1.00
Mandarin Chinese,1.00,1.00,1.00,1.00
Thai,1.00,0.97,0.98,1.00
Vietnamese,1.00,0.85,0.92,0.99
White Hmong,1.00,0.91,0.95,0.99
Ceq Wong,0.80,0.73,0.76,0.95
Indonesian,0.95,0.90,0.92,0.99
Malagasy,1.00,1.00,1.00,1.00
Takia,1.00,0.92,0.96,0.99
Hawaiian,1.00,1.00,1.00,1.00
Gurindji,1.00,1.00,1.00,1.00
Yaqui,1.00,0.93,0.96,0.99
Zinacantán Tzotzil,1.00,0.92,0.96,0.99
Q'eqchi',1.00,0.94,0.97,0.99
Otomi,1.00,1.00,1.00,1.00
Saramaccan,1.00,1.00,1.00,1.00
Imbabura Quechua,1.00,0.89,0.94,0.98
Kali'na,1.00,0.92,0.96,0.99
Hup,1.00,1.00,1.00,1.00
Wichí,1.00,1.00,1.00,1.00
Mapudungun,1.00,0.94,0.97,0.99
TOTAL/MEAN,0.99,0.92,0.95,0.99
