Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,0.85,0.92,0.99
Iraqw,0.87,0.87,0.87,0.98
Gawwada,1.00,0.85,0.92,0.99
Hausa,1.00,0.95,0.97,1.00
Kanuri,1.00,1.00,1.00,1.00
Tarifiyt Berber,1.00,0.61,0.76,0.96
Seychelles Creole,0.96,0.83,0.89,0.99
Romanian,0.67,0.67,0.67,0.96
Selice Romani,1.00,0.83,0.91,0.99
Lower Sorbian,1.00,0.86,0.93,0.99
Old High German,0.93,0.74,0.82,0.98
Dutch,0.75,0.56,0.64,0.96
English,1.00,0.46,0.63,0.96
Kildin Saami,0.95,0.86,0.90,0.98
Bezhta,1.00,0.69,0.81,0.98
Archi,1.00,0.59,0.74,0.97
Manange,1.00,0.80,0.89,0.99
Ket,1.00,0.60,0.75,0.98
Sakha,1.00,0.59,0.74,0.97
Oroqen,0.89,0.42,0.57,0.95
Japanese,1.00,1.00,1.00,1.00
Mandarin Chinese,0.95,0.86,0.90,0.99
Thai,0.88,1.00,0.93,0.99
Vietnamese,0.94,0.94,0.94,0.99
White Hmong,1.00,0.82,0.90,0.99
Ceq Wong,0.67,0.80,0.73,0.98
Indonesian,1.00,0.95,0.97,1.00
Malagasy,1.00,0.82,0.90,0.99
Takia,1.00,0.94,0.97,1.00
Hawaiian,1.00,1.00,1.00,1.00
Gurindji,1.00,1.00,1.00,1.00
Yaqui,1.00,1.00,1.00,1.00
Zinacantán Tzotzil,1.00,0.85,0.92,0.99
Q'eqchi',1.00,0.95,0.98,1.00
Otomi,1.00,0.96,0.98,1.00
Saramaccan,1.00,0.40,0.57,0.97
Imbabura Quechua,1.00,1.00,1.00,1.00
Kali'na,1.00,1.00,1.00,1.00
Hup,1.00,1.00,1.00,1.00
Wichí,1.00,1.00,1.00,1.00
Mapudungun,1.00,0.94,0.97,1.00
TOTAL/MEAN,0.96,0.83,0.88,0.99
