Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,0.90,0.95,0.99
Iraqw,1.00,0.70,0.82,0.95
Gawwada,1.00,0.86,0.92,0.99
Hausa,1.00,0.43,0.60,0.86
Kanuri,1.00,0.44,0.61,0.86
Tarifiyt Berber,1.00,0.59,0.74,0.94
Seychelles Creole,0.91,0.66,0.76,0.94
Romanian,0.91,0.82,0.86,0.97
Selice Romani,0.84,0.70,0.76,0.92
Lower Sorbian,0.91,0.91,0.91,0.98
Old High German,0.95,0.78,0.86,0.97
Dutch,0.72,0.56,0.63,0.88
English,0.80,0.51,0.62,0.88
Kildin Saami,0.85,0.59,0.70,0.93
Bezhta,1.00,0.54,0.70,0.93
Archi,0.89,0.71,0.79,0.94
Manange,0.96,0.81,0.88,0.97
Ket,1.00,0.65,0.79,0.95
Sakha,0.93,0.81,0.86,0.97
Oroqen,0.91,0.59,0.71,0.94
Japanese,0.96,0.90,0.93,0.98
Mandarin Chinese,0.98,0.80,0.88,0.97
Thai,0.97,0.42,0.59,0.85
Vietnamese,0.94,0.39,0.55,0.82
White Hmong,1.00,0.46,0.63,0.87
Ceq Wong,0.74,0.61,0.67,0.90
Indonesian,0.80,0.94,0.86,0.97
Malagasy,1.00,0.91,0.96,0.99
Takia,0.89,0.81,0.85,0.97
Hawaiian,1.00,0.80,0.89,0.97
Gurindji,0.86,1.00,0.92,0.98
Yaqui,0.94,0.94,0.94,0.99
Zinacantán Tzotzil,0.94,0.92,0.93,0.98
Q'eqchi',0.88,0.78,0.82,0.96
Otomi,0.93,0.80,0.86,0.97
Saramaccan,1.00,0.55,0.71,0.93
Imbabura Quechua,1.00,1.00,1.00,1.00
Kali'na,0.96,0.96,0.96,0.99
Hup,0.96,0.51,0.67,0.91
Wichí,1.00,1.00,1.00,1.00
Mapudungun,0.96,1.00,0.98,1.00
TOTAL/MEAN,0.93,0.73,0.81,0.95
