Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
^	NULL	57	U+005E		
$	NULL	12	U+0024		
(	NULL	1	U+0028	"šekertːu(r)"	
)	NULL	1	U+0029	"šekertːu(r)"	
<	NULL	1	U+003C	"χːiriχ_e<b>tːit:ub"	
>	NULL	1	U+003E	"χːiriχ_e<b>tːit:ub"	
^i$	i	2	U+005E U+0069 U+0024	"i"	Archi
^tow/tor/tob/tot$	t o w	1	U+005E U+0074 U+006F U+0077 U+002F U+0074 U+006F U+0072 U+002F U+0074 U+006F U+0062 U+002F U+0074 U+006F U+0074 U+0024	"tow/tor/tob/tot"	
-	+	9	U+002D	"naˤkɬʼ-du-t,nen-t’u,to-b"	Archi
_	_	222	U+005F	"beχːˤe_kes,kulu_lo,ʕejb_i_bos"	Archi
a	a	797	U+0061	"asas,halmaχdu,pašmankul"	Archi
b	b	161	U+0062	"aʔbos,uˤrbət'i,χabkul"	Archi
c	ts	22	U+0063	"matacik,milici,ʕejb_itʼukul_ocis_as"	Archi
d	d	80	U+0064	"gardabil,nusdu,panidelnik"	Archi
e	e	193	U+0065	"batarejka,kʷekːis_as,teb"	Archi
g	g	23	U+0067	"ardigi_bos,nagah,čʼagu"	Archi
h	h	23	U+0068	"c’ohor,p'ahbos,zahru"	Archi
i	i	361	U+0069	"kirpič,miliχˤutːu,q'ič'itːut"	Archi
j	j	30	U+006A	"ačuna_q'ˤijq'is,k'uc'illit_q'ˤijq'is,šumijtʼu"	Archi
k	k	210	U+006B	"hilku,laq’ukumul,ħukumat"	Archi
l	l	159	U+006C	"haˤžəla,kʼalaj,ħurulʕen"	Archi
m	m	112	U+006D	"imkɬʼəla,pašmankul,q’omo"	Archi
n	n	152	U+006E	"anχ_as,tumank,ɬːʷaːnatːut"	Archi
o	o	255	U+006F	"dogilin_q'ʷíkːi,ʕejb_itʼukul_ocis_as,χˤakɬ’bos"	Archi
p	p	13	U+0070	"jupka,pampi,qˤipiχˤan"	Archi
q	q	17	U+0071	"eqišamin_kummul,jasqi,qarqatːut"	Archi
r	r	237	U+0072	"birinž,darcː'an,haˤrta_as"	Archi
s	s	57	U+0073	"dars_eχmus_as,ekas_as,sːob_sas"	Archi
t	t	65	U+0074	"k'uc'illit_q'ˤijq'is,matacik,č'otχol"	Archi
u	u	478	U+0075	"eχːutːut,lilmučʼ,šːubus"	Archi
v	v	2	U+0076	"piva,četverg"	Archi
w	w	16	U+0077	"awlad,awtːabus,uwbos"	Archi
x	x	2	U+0078	"haraxut_eɬmul,oxas"	Archi
z	z	27	U+007A	"gazet,iːzut,tabərzan"	Archi
á	á/a	3	U+00E1	"q'ˤábʁˤdut,q'ˤásetːituː,ɬːánnaqˤ"	Archi
é	é/e	2	U+00E9	"q'ʷˤét'u_abutːib,χːˤološgértːi"	Archi
í	í/i	3	U+00ED	"dogilin_q'ʷíkːi,iq'ˤíl_as,kɬ'illíkɬ'_berɬːi"	Archi
č	tʃ	37	U+010D	"amk’_ačas,aqəltːəkan_arčartːu,učχol"	Archi
ħ	ħ	7	U+0127	"alħat,c’aħannin_ustar,uħubos"	Archi
š	ʃ	56	U+0161	"biši_buwa,haˤršbos_as,ušmun_lo"	Archi
ž	ʒ	17	U+017E	"hužum_abas,nuˤbžal_iq,ʁˤažbos"	Archi
ə	ə	45	U+0259	"aχəran,haˤžəla,jatːərsi"	Archi
ɬ	ɬ	42	U+026C	"dabɬas,eɬas,uɬdu"	Archi
ɮ	ɮ	2	U+026E	"kɬ'eɮdut,naˤɮdut"	Archi
ʁ	ʁ	13	U+0281	"baʁəža,haʁdut,q’iʁbos"	Archi
ʔ	ʔ	3	U+0294	"aʔbos,paʔbos"	Archi
ʕ	ʕ	7	U+0295	"sudlin_maʕni,sːaʕat,ħurulʕen"	Archi
χ	χ	62	U+03C7	"jarχullut,jaχat,čiχir"	Archi
^a	a	91	U+005E U+0061	"abaj,allah,ari"	Archi
^b	b	73	U+005E U+0062	"barsːon,batarejka,baˤkʼ"	Archi
^c	ts	9	U+005E U+0063	"cal,caqˤas,cas"	Archi
^d	d	71	U+005E U+0064	"daki,di_caχas,dič’"	Archi
^e	e	23	U+005E U+0065	"ecas,eq'ʷmus,eχmus"	Archi
^g	g	27	U+005E U+0067	"gon,graždanin,gukːitːut"	Archi
^h	h	43	U+005E U+0068	"hani,hanžugur,haˤrta_as"	Archi
^i	i	38	U+005E U+0069	"ili,iqː'ˤəkul,iχtijar_kɬos"	Archi
