Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
^nũʔ$	n ũ ʔ	1	U+005E U+006E U+0169 U+0294 U+0024	"nũʔ"	
^branĩʔ$	b r a n ĩ ʔ	1	U+005E U+0062 U+0072 U+0061 U+006E U+0129 U+0294 U+0024	"branĩʔ"	
_	_	92	U+005F	"həʔ_tngəp,kmɨ̃t_hmɛ̃c,ktɔʔ_ʔahat"	Ceq Wong
a	a	495	U+0061	"jagoŋ,pkak,tibaʔ"	Ceq Wong
b	b	51	U+0062	"sbuʔ,sibu,tɑm_buʔ"	Ceq Wong
c	c	34	U+0063	"bəʔ_cɑs,guncaŋ,sac_lmũɲ"	Ceq Wong
d	d	37	U+0064	"biruy_dih,kadaŋ_kadaŋ,madɨk"	Ceq Wong
e	e	86	U+0065	"raŋem,ʔageh,ʔet"	Ceq Wong
g	g	25	U+0067	"taŋgəm,tiŋgiʔ,ʔubat_ngɑt"	Ceq Wong
h	h	30	U+0068	"bahayaʔ,jəʔeŋ_bahoʔ,kuleh_bəʔ"	Ceq Wong
i	i	146	U+0069	"bdil,briʔ_kmanɨ̃h,bsiʔ_pakuʔ"	Ceq Wong
j	j	30	U+006A	"kjaʔ,kjəŋ,ʔojok"	Ceq Wong
k	k	69	U+006B	"ktɔʔ_pkan,ncɔk_tɑm,skuy"	Ceq Wong
l	l	93	U+006C	"bləʔ,limãʔ_blas,sblas"	Ceq Wong
m	m	55	U+006D	"kamĩn,sac_lmũɲ,samoŋ"	Ceq Wong
n	n	86	U+006E	"mnɨ̃ʔ,pndap,ʔanɛ̃k"	Ceq Wong
o	o	106	U+006F	"cicoʔ,hoʔ,togoh"	Ceq Wong
p	p	45	U+0070	"hapit,ktɔʔ_pkan,ʔumpan"	Ceq Wong
r	r	68	U+0072	"craŋ,marɨɲ,prus"	Ceq Wong
s	s	28	U+0073	"pasaŋ,pusiŋ,pwasaʔ"	Ceq Wong
t	t	87	U+0074	"citərə,katak,mɔtɔ"	Ceq Wong
u	u	151	U+0075	"bajuʔ,bukuʔ,kuc"	Ceq Wong
w	w	22	U+0077	"duwə_puloh,hawar,jawap"	Ceq Wong
y	y	46	U+0079	"biyoŋ,jayit,jəʔeŋ_kyɛm"	Ceq Wong
ã	ã	21	U+00E3	"limãʔ_blas,wanãʔ,yãw"	Ceq Wong
ĩ	ĩ	7	U+0129	"kamĩn,kunĩŋ,laŋĩt"	Ceq Wong
