Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
^	NULL	6	U+005E		
$	NULL	11	U+0024		
^a$	a	1	U+005E U+0061 U+0024	"a"	Ket
^i$	i	1	U+005E U+0069 U+0024	"i"	Ket
^ē$	ē/e	1	U+005E U+0113 U+0024	"ē"	Ket
^eˀ$	eˀ	1	U+005E U+0065 U+02C0 U+0024	"eˀ"	Ket
^ii$	iː	2	U+005E U+0069 U+0069 U+0024	"ii"	Ket
^iˀ$	iˀ	3	U+005E U+0069 U+02C0 U+0024	"iˀ"	Ket
^uu$	uː	2	U+005E U+0075 U+0075 U+0024	"uu"	Ket
^às$	à/a s	1	U+005E U+00E0 U+0073 U+0024	"às"	Ket
^ùs$	ù/u s	1	U+005E U+00F9 U+0073 U+0024	"ùs"	Ket
^ās$	ā/a s	1	U+005E U+0101 U+0073 U+0024	"ās"	Ket
^ēs$	ē/e s	4	U+005E U+0113 U+0073 U+0024	"ēs"	Ket
^īs$	ī/i s	2	U+005E U+012B U+0073 U+0024	"īs"	Ket
^əə$	əː	1	U+005E U+0259 U+0259 U+0024	"əə"	Ket
^peršep$	p e r ʃ e p	2	U+005E U+0070 U+0065 U+0072 U+0161 U+0065 U+0070 U+0024	"peršep"	
-	+	17	U+002D	"-qan,-sin,ben_-_t_-_a"	Ket
.	_	3	U+002E	"tam...tam"	Ket
_	_	101	U+005F	"kàl_deˀŋ,qusam_bənsaŋ_qō,ɯnamas_bisep"	Ket
a	a	399	U+0061	"isaŋtij,qoŋsajdo,sulaŋ"	Ket
b	b	111	U+0062	"eeboks,kitbet,əlbaŋ"	Ket
d	d	58	U+0064	"ogdekup,ugdat,uldo"	Ket
e	e	252	U+0065	"den,qores,ɯnamas_bisep"	Ket
g	g	57	U+0067	"bən_saɣingit,tultangit,ulgit"	Ket
h	h	5	U+0068	"həna_hiɣbisep,iŋɢust_hāt,āmd_hɯ̄j"	Ket
i	i	224	U+0069	"darij,milisa,utisqan"	Ket
j	j	56	U+006A	"qoja,sujgiŋ,təja"	Ket
k	k	53	U+006B	"akus,kupka,lopətka"	Ket
l	ɮ	189	U+006C	"belim,qolet,silgit"	Ket
m	m	72	U+006D	"binomnikbet,qomat,umla"	Ket
n	n	116	U+006E	"bednaj,bines,hingit"	Ket
o	o	208	U+006F	"aqqot,dədoqs,qonsal"	Ket
p	p	28	U+0070	"dupta,qopt,əqpes"	Ket
q	q	59	U+0071	"aqta_dīt,esqontiŋ,toqtet"	Ket
r	r	65	U+0072	"qores,ulderen,urok"	Ket
s	s	108	U+0073	"isaŋtij,tam_akus_ana_bən,taska"	Ket
t	t	173	U+0074	"aqta,mamtkup,postop"	Ket
u	u	104	U+0075	"esqut,hunnas,tuɣun"	Ket
v	v	16	U+0076	"ovaŋ,qovetat,tavij"	Ket
z	z	1	U+007A	"poezd"	Ket
à	à/a	18	U+00E0	"qà_bisep,qà_hiɣbisep,qàŋ"	Ket
è	è/e	9	U+00E8	"bèr,dèr,sèl"	Ket
ì	ì/i	9	U+00EC	"bìl,kìj,tìɣ"	Ket
