Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
^	NULL	1	U+005E		
$	NULL	9	U+0024		
(	NULL	4	U+0028	"1ʃo_2mle_(1jʌ),2pʰi(=ri),2tʃu_2tʃu_(lari)"	
)	NULL	10	U+0029	"1pʰo_mi),1ŋjaŋ_tsʰaraŋ),naka)_4pʰale"	
1	NULL	116	U+0031	"1ja_1pʰu,1jʌ_1lʌ_pe,1ʂʌ_1pʰo"	Manange
2	NULL	61	U+0032	"1ki_2kje,2li-tse_2nokrẽ,moŋʈe_2tʰamraŋ"	Manange
3	NULL	34	U+0033	"3kola_4ʈʰu-pʌ_3mi,4poli_3ruŋ,4tʰaŋ_3sʌ-pʌ_1kʰʌ"	Manange
4	NULL	25	U+0034	"1mjuku_1jʌ-pʌ_4kʰja,2kju_4ju,kʰapʌr_4tʃʰe"	Manange
^1	NULL	307	U+005E U+0031	"1nokro,1tĩ,1tʃʰi"	Manange
^2	NULL	221	U+005E U+0032	"2mi_2pʰi,2peʔ,2plisur"	Manange
^3	NULL	161	U+005E U+0033	"3kjur,3pje_1a-rʌ-pʌ,3ta"	Manange
^4	NULL	124	U+005E U+0034	"4kakor_2kʷol,4ma,4muʃʌ"	Manange
-	+	79	U+002D	"4tʰe-pʌ,sʌm-pʌ,tsol-pʌ_are-pʌ"	Manange
=	+	28	U+003D	"1pʰitsʌ=ri,2kuŋ=ri,3titi=ri"	Manange
_	_	331	U+005F	"2kjutsaŋ_3taŋ,3maka_1tʌ,hai_1lʌ"	Manange
a	a	286	U+0061	"2melaŋ,2pʰjaŋ,3luŋma_1a-pĩ"	Manange
b	b	1	U+0062	"labul_1kʰʌ-tsi"	Manange
c	c	2	U+0063	"2picaŋ,ha_coŋpʌ"	Manange
d	d	2	U+0064	"dzadu,samundra"	Manange
e	e	137	U+0065	"3naraŋ_2tsame=ko,4kʰer,tsol-pʌ_are-pʌ"	Manange
g	g	1	U+0067	"1gohi"	Manange
h	h	12	U+0068	"4hatʃi,sʌ_hlakpʌ,tsihan"	Manange
i	i	183	U+0069	"2siŋ_hoktoŋ_3sʌ,2ʃiŋ_ko,tʰikka"	Manange
j	j	213	U+006A	"1tʌŋkjaŋ,2kju_1a-tsaŋ-pʌ_1mo_1mu,pʰja"	Manange
k	k	226	U+006B	"tʰuk_tʰu,ʃaŋko,ʃike"	Manange
l	l	171	U+006C	"3pʌle_2mʷe,pʌlis,tela"	Manange
m	m	167	U+006D	"1timu,4kʰorpʌ_3mi,4mjepʰɾa"	Manange
n	n	100	U+006E	"1nʌ,2nokrẽ,4nese"	Manange
o	o	192	U+006F	"4kole,4pʌskjop,toŋkori_kʰeta"	Manange
p	p	195	U+0070	"1ate_proŋko,2napraŋ,4mʷi_1pĩ"	Manange
r	r	147	U+0072	"1kra,3naŋ=ri_1jʌ,3pʌrpʌ"	Manange
s	s	62	U+0073	"3su_1kʰʌ-pʌ,3sʌpʌ_1kʰʌ,4tʰa_1suŋkur"	Manange
t	t	173	U+0074	"2taŋi,3taŋpʌ,kʰonta"	Manange
u	u	207	U+0075	"1tʃʰuku,4tʰukpʌ,kakri_3puluŋ"	Manange
w	w	4	U+0077	"hawa_tʃansa,pʌriwʌr,sʌ_tʌwʌ"	Manange
y	j	1	U+0079	"kosyo"	Manange
z	z	3	U+007A	"2sez_1lʌ,dzadu,tzomliŋ"	Manange
ĩ	ĩ	2	U+0129	"4tʰĩ_2prĩ,pʌĩ_2ʃiŋ"	Manange
ŋ	ŋ	167	U+014B	"2ʃiŋ_3tuŋ,3ŋjo,kjamtso_naŋ_sʌliŋ"	Manange
ɦ	ɦ	1	U+0266	"dɦarmʌ"	Manange
ɲ	ɲ	4	U+0272	"1ɲe,2ɲaŋ,2ɲerke"	Manange
ɾ	ɾ	21	U+027E	"4kʷʰe_2pɾĩ,4pʰo_1kɾẽ,4pʰɾa"	Manange
ʂ	ʂ	24	U+0282	"2ʂi,2ʂi-pʌ,3ʂo"	Manange
ʃ	ʃ	63	U+0283	"1ʃʌ,2ʃalaŋ,maʃaŋ_2kju"	Manange
ʈ	ʈ	38	U+0288	"1ʈup,3ʈi,minisʈʌr"	Manange
ʌ	ʌ	238	U+028C	"3su_1kʰʌ-pʌ,kʰutʃu_1kʰʌ_1mo,pʌriwʌr"	Manange
β	β	1	U+03B2	"gʌβʌrmʌnt"	Manange
ẽ	ẽ	4	U+1EBD	"(ŋoŋtse)_1krẽ_2nokrẽ,1pʰo_thẽ_1ʈu,4mẽ_kʰuju"	Manange
^=	+	3	U+005E U+003D	"=juŋ,=ri"	Manange
^a	a	8	U+005E U+0061	"amtʰjʌpʌ,atsiŋkʌt,aʃaŋ"	Manange
^b	b	3	U+005E U+0062	"bijuli,boʈʌl,bʌs"	Manange
^d	d	2	U+005E U+0064	"dzadu,dɦarmʌ"	Manange
^e	e	1	U+005E U+0065	"eskul"	Manange
^f	f	2	U+005E U+0066	"filʌm,fon"	Manange
^g	g	1	U+005E U+0067	"gʌβʌrmʌnt"	Manange
^h	h	6	U+005E U+0068	"ha_coŋpʌ,hawa_tʃansa,huɲi"	Manange
^i	i	1	U+005E U+0069	"inʌr"	Manange
^j	j	9	U+005E U+006A	"ja_kʰupʌ,juŋ,jʌmtʌ_pʰeri_pʰre"	Manange
^k	k	42	U+005E U+006B	"koʈʌlo,koʈʰa,kutʌru_le_tu"	Manange
^l	l	11	U+005E U+006C	"labul_1kʰʌ-tsi,litʃel,lʌmʌ"	Manange
