Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
$	NULL	1	U+0024		
(	NULL	1	U+0028	"tuoχ_da_(suoχ)"	
)	NULL	1	U+0029	"tuoχ_da_(suoχ)"	
.	NULL	3	U+002E	"duː..._duː"	Sakha
^e$	e	1	U+005E U+0065 U+0024	"e"	Sakha
^uː$	uː	1	U+005E U+0075 U+02D0 U+0024	"uː"	Sakha
^üs$	y s	1	U+005E U+00FC U+0073 U+0024	"üs"	Sakha
-	+	2	U+002D	"kün-ʤɨl,üön-köyüːr"	Sakha
_	_	126	U+005F	"bɨrastɨː_gɨn,en_bihikki,erien_üön"	Sakha
a	a	571	U+0061	"taraːχ,χaltarɨy,χaːllar"	Sakha
b	b	129	U+0062	"olbuor,sibiginey,ɨrbaːχɨ"	Sakha
d	d	78	U+0064	"erde,keleɣeydeː,üöhe_doydu"	Sakha
e	e	320	U+0065	"sep,sieme,siːdes"	Sakha
f	f	2	U+0066	"kofe,neft"	Sakha
g	g	99	U+0067	"erge_bar,sehergeː,uːga_tüs"	Sakha
h	h	145	U+0068	"ahɨy,teheɣes,tünnük_ta:ha"	Sakha
i	i	266	U+0069	"kiergel,kiỹiːt,silleː"	Sakha
k	k	113	U+006B	"matka,sappɨkɨhɨt,taχsan_kiːrer_sir"	Sakha
l	l	235	U+006C	"bihileχ,melʤes,olguy"	Sakha
m	m	101	U+006D	"kempiet,kumalan,čalɨmnaː"	Sakha
n	n	146	U+006E	"benidienɲik,doɣoloŋnoː,tökünüt"	Sakha
o	o	310	U+006F	"buollar,počta,suoχ"	Sakha
p	p	35	U+0070	"laːmpa,tölüpüön,χapkaːn"	Sakha
r	r	393	U+0072	"allaraː,külgeri,mekčirge"	Sakha
s	s	97	U+0073	"buruya_suoχ,kisteleŋ,ostuolba"	Sakha
t	t	271	U+0074	"bastakɨ,kurtaχ,sɨmɨːt_araɣaha"	Sakha
u	u	323	U+0075	"temperatura,tualet,turba"	Sakha
v	v	4	U+0076	"avtobus,pravitelstva,rakovina"	Sakha
y	y	96	U+0079	"araːʤɨya,maŋnaygɨ,χaydaχ"	Sakha
z	z	5	U+007A	"korzina,kukuruza,prezident"	Sakha
ö	ö/œ	124	U+00F6	"körsüs,sörüːketer,üs_tögül"	Sakha
ü	ü/y	164	U+00FC	"bügün,süör,üčügey_sɨttaːχ"	Sakha
č	tʃ	39	U+010D	"tɨhɨːnča,uruːčka,čoχčoy"	Sakha
ŋ	ŋ	61	U+014B	"köŋül,töbö_uŋuoɣa,tɨŋa"	Sakha
ɣ	ɣ	130	U+0263	"bɨhaɣɨnan_as,oɣonɲor,soto_bötöɣötö"	Sakha
ɨ	ɨ	355	U+0268	"sɨtɨ_bil,tɨmtay,uottaːhɨn"	Sakha
ɲ	ɲ	18	U+0272	"miːnɲik,sibinɲeːs,sɨnɲan"	Sakha
ʤ	dʒ	26	U+02A4	"suʤuya,ɨalʤar,χoluoʤas"	Sakha
γ	γ/ɣ	1	U+03B3	"χas_daγanï"	Sakha
χ	χ	52	U+03C7	"bosχoloː,ulaχan,χaχtaː"	Sakha
ỹ	ỹ	12	U+1EF9	"kuỹaχ,taỹax,χaỹɨː"	Sakha
^a	a	85	U+005E U+0061	"araːr,arɣas,aỹaχ"	Sakha
^b	b	172	U+005E U+0062	"bes,buol,bödöŋ"	Sakha
^d	d	13	U+005E U+0064	"deriebine,doɣoloŋnoː,doɣor"	Sakha
^e	e	58	U+005E U+0065	"ebeter,eder_kihi,erge"	Sakha
^g	g	1	U+005E U+0067	"gɨn"	Sakha
^h	h	1	U+005E U+0068	"horkuoydaː"	Sakha
^i	i	51	U+005E U+0069	"is,itirik,ičiges"	Sakha
^k	k	209	U+005E U+006B	"kuːs,küöl,küös"	Sakha
