Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
$	NULL	22	U+0024		
'_	NULL	2	U+0027 U+005F	"nup'_ba,ti'__________"	Zinacantán Tzotzil
_$	NULL	1	U+005F U+0024	"jmak-_"	Zinacantán Tzotzil
____$	NULL	3	U+005F U+005F U+005F U+005F U+0024	"na____,nukulal____,ve`el____"	Zinacantán Tzotzil
_________$	NULL	1	U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+0024	"ti'__________"	Zinacantán Tzotzil
____________$	NULL	3	U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+0024	"chame____________,ch’ul____________,hay____________"	Zinacantán Tzotzil
_______________$	NULL	1	U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+0024	"hay_______________"	Zinacantán Tzotzil
________________$	NULL	2	U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+0024	"me7________________,tot________________"	Zinacantán Tzotzil
'	ʔ	37	U+0027	"7ach'el,nail_ch'en,t'ul"	
-	+	5	U+002D	"chak-,h7ak’-chamel,tz'in-te7"	Zinacantán Tzotzil
.	_	4	U+002E	"7oy....7oy"	Zinacantán Tzotzil
7	ʔ	171	U+0037	"me7il,te7tik,tze7in"	Zinacantán Tzotzil
_	_	259	U+005F	"7alib_me7elil,kachimpa_pom,merio_choy"	Zinacantán Tzotzil
`	ʔ	8	U+0060	"`alib_me`elil,ve`el____,yi`lej"	Zinacantán Tzotzil
a	a	866	U+0061	"7asuka,kashlan,milvan"	Zinacantán Tzotzil
b	ɓ	130	U+0062	"nekebal,pas_baik_ta_preva,vom_ta_bala"	Zinacantán Tzotzil
c	c	2	U+0063	"vaca,vacash"	Zinacantán Tzotzil
e	e	409	U+0065	"7ach'eltik,pas_baik_ta_preva,vesk’unel"	Zinacantán Tzotzil
g	g	3	U+0067	"lagarto,lagrio,lugar"	Zinacantán Tzotzil
