pk,jsondata,id,name,description,markup_description,latitude,longitude,version
1,,1,Swahili,,,-6.5,39,1
2,,2,Iraqw,,,-4,35.5,1
3,,3,Gawwada,,,5.5,37.25,1
4,,4,Hausa,,,12,7,1
5,,5,Kanuri,,,12,13,1
6,,6,Tarifiyt Berber,,,34.5,-4,1
7,,7,Seychelles Creole,,,-4.75,55.5,1
8,,8,Romanian,,,46,25,1
9,,9,Selice Romani,,,48.091,17.9609,1
10,,10,Lower Sorbian,,,51.75,14.3333,1
11,,11,Old High German,,,50.55,9.68333,1
12,,12,Dutch,,,52.5,6,1
13,,13,English,,,52,0,1
14,,14,Kildin Saami,,,67,37,1
15,,15,Bezhta,,,42.0833,46.1667,1
16,,16,Archi,,,42,46.8333,1
17,,17,Manange,,,28,84.25,1
18,,18,Ket,,,64,87,1
19,,19,Sakha,,,62,130,1
20,,20,Oroqen,,,51.2829,126.111,1
21,,21,Japanese,,,37,140,1
22,,22,Mandarin Chinese,,,34,110,1
23,,23,Thai,,,16,101,1
24,,24,Vietnamese,,,10.5,106.5,1
25,,25,White Hmong,,,26,105,1
26,,26,Ceq Wong,,,3.8807,102.456,1
27,,27,Indonesian,,,0,106,1
28,,28,Malagasy,,,-20,47,1
29,,29,Takia,,,-4.66667,146,1
30,,30,Hawaiian,,,19.5833,-155.5,1
31,,31,Gurindji,,,-17.6667,130.667,1
32,,32,Yaqui,,,27.5,-110.25,1
33,,33,Zinacantán Tzotzil,,,16.8333,-92.8333,1
34,,34,Q'eqchi',,,16,-89.8333,1
35,,35,Otomi,,,20.1667,-98.8333,1
36,,36,Saramaccan,,,4.5,-55.5,1
37,,37,Imbabura Quechua,,,0.333333,-78,1
38,,38,Kali'na,,,5.5,-56,1
39,,39,Hup,,,0.166667,-69.25,1
40,,40,Wichí,,,-22.5,-62.5833,1
41,,41,Mapudungun,,,-38,-72,1
42,,42,Bantu,,,2,14,1
43,,43,Afro-Asiatic,,,24.667,30.5942,1
44,,44,Ainu,,,43,143,1
45,,45,Akkadian,,,33.1,44.1,1
46,,46,Alanian,,,44.6333,41.9336,1
47,,47,Albanian,,,41,20,1
48,,48,Algonquian (Powhatan),,,43.2567,-79.8691,1
49,,49,Altaic,,,49,72,1
50,,50,Aluku,,,2,-54,1
51,,51,Amharic,,,10,38,1
52,,52,Egyptian,,,29.9792,31.1344,1
53,,53,Arabic,,,25,42,1
54,,54,Arabic (Moroccan),,,34,-6,1
55,,55,Arawakan (Haiti),,,18.5393,-72.3364,1
56,,56,Arawakan,,,-2,-78,1
57,,57,Armenian,,,40.1586,44.4993,1
58,,58,Indo-Portuguese,,,20.7147,70.977,1
59,,59,Assyrian,,,35,43,1
60,,60,Austro-Asiatic,,,23,98,1
61,,61,Austronesian,,,24,121,1
62,,62,Avar,,,42.5,46.5,1
63,,63,Aymara,,,-17,-69,1
64,,64,Azerbaijani,,,40.5,48.5,1
65,,65,Balinese,,,-8.33333,115.25,1
66,,66,Baltic,,,55.9321,23.3142,1
67,,67,Banda,,,6.5,20.75,1
68,,68,Banjarese,,,-3.3285,114.589,1
69,,69,Barbacoan,,,1,-78,1
70,,70,Bargam,,,-4.88333,145.75,1
71,,71,Bemba,,,-10,28.25,1
72,,72,Bengali,,,24,90,1
73,,73,Benue-Congo,,,7,8,1
74,,74,Berber,,,32,-1,1
75,,75,Bulgarian,,,42.5,25,1
76,,76,Burushaski,,,36.5,74.5,1
77,,77,Buryat,,,52,108,1
78,,78,Cantonese,,,23,113,1
79,,79,Carib,,,5.5,-56,1
80,,80,Celtic,,,50.1186,-5.53715,1
81,,81,Central Tai,,,23,106,1
82,,82,Ch’ao-chou,,,23.67,116.63,1
83,,83,Ch’olan,,,18,-92.5,1
84,,84,Ch’olti’,,,15.725,-88.5936,1
85,,85,Ch’orti’,,,14.8333,-89.25,1
86,,86,Chadic,,,10,14,1
87,,87,Cham,,,12,107.5,1
88,,88,Chamic,,,12,108,1
89,,89,Chinese,,,34,110,1
90,,90,Hokkien,,,25,118,1
91,,91,Min,,,24.4796,118.089,1
92,,92,Northern Chinese,,,37,115,1
93,,93,Chol,,,17.75,-92.5,1
94,,94,Chontal,,,16.1667,-95.75,1
95,,95,Chuj,,,15.9167,-91.5833,1
96,,96,Latin,,,41.8955,12.4823,1
97,,97,Classical Arabic,,,21.4167,39.8167,1
98,,98,Classical Greek,,,37.9792,23.7166,1
99,,99,Germanic,,,54.9158,8.33083,1
100,,100,Comorian,,,-12,44,1
101,,101,Coptic,,,26,32,1
102,,102,Cuzco Quechua,,,-14.5,-71,1
103,,103,Czech,,,50,15,1
104,,104,Dagur,,,48,124,1
105,,105,Datooga,,,-4.33333,35.3333,1
106,,106,Dendi,,,12,3.5,1
107,,107,Dharuk,,,-33.8671,151.207,1
108,,108,Dravidian,,,19,82,1
109,,109,Madurese,,,-7,113.5,1
