pk,jsondata,language_pk,identifier_pk,description,version
1,,2,1,,1
2,,2,2,,1
3,,2,3,,1
4,,3,4,,1
5,,3,5,,1
6,,3,6,,1
7,,4,7,,1
8,,4,8,,1
9,,4,9,,1
10,,5,10,,1
11,,5,11,,1
12,,5,12,,1
13,,6,13,,1
14,,6,14,,1
15,,6,15,,1
16,,7,16,,1
17,,7,17,,1
18,,7,18,,1
19,,13,19,,1
20,,13,20,,1
21,,13,21,,1
22,,10,22,,1
23,,10,23,,1
24,,10,24,,1
25,,14,25,,1
26,,14,26,,1
27,,14,27,,1
28,,15,28,,1
29,,15,29,,1
30,,15,30,,1
31,,16,31,,1
32,,16,32,,1
33,,16,33,,1
34,,17,34,,1
35,,17,35,,1
36,,19,36,,1
37,,20,37,,1
38,,20,38,,1
39,,22,39,,1
40,,22,40,,1
41,,22,41,,1
42,,23,42,,1
43,,23,43,,1
44,,23,44,,1
45,,24,45,,1
46,,24,46,,1
47,,24,47,,1
48,,25,48,,1
49,,25,49,,1
50,,25,50,,1
51,,21,51,,1
52,,21,52,,1
53,,21,53,,1
54,,26,54,,1
55,,26,55,,1
56,,27,56,,1
57,,27,57,,1
58,,27,58,,1
59,,28,59,,1
60,,28,60,,1
61,,28,61,,1
62,,29,62,,1
63,,29,63,,1
64,,29,64,,1
65,,31,65,,1
66,,31,66,,1
67,,31,67,,1
68,,32,68,,1
69,,32,69,,1
70,,32,70,,1
71,,33,71,,1
72,,33,72,,1
73,,33,73,,1
74,,34,74,,1
75,,34,75,,1
76,,34,76,,1
77,,35,77,,1
78,,35,78,,1
79,,35,79,,1
80,,36,80,,1
81,,36,81,,1
82,,36,82,,1
83,,38,83,,1
84,,38,84,,1
85,,38,85,,1
86,,39,86,,1
87,,39,87,,1
88,,39,88,,1
89,,40,89,,1
90,,40,90,,1
91,,40,91,,1
92,,41,92,,1
93,,41,93,,1
94,,41,94,,1
95,,8,95,,1
96,,8,96,,1
97,,8,97,,1
98,,12,98,,1
99,,12,99,,1
100,,12,100,,1
101,,30,101,,1
102,,30,102,,1
103,,30,103,,1
104,,1,104,,1
105,,1,105,,1
106,,1,106,,1
107,,37,107,,1
108,,37,108,,1
109,,37,109,,1
110,,18,110,,1
111,,18,111,,1
112,,18,112,,1
113,,44,113,,1
114,,44,114,,1
115,,44,115,,1
116,,47,116,,1
117,,47,117,,1
118,,47,118,,1
119,,47,119,,1
120,,47,120,,1
121,,50,121,,1
122,,50,122,,1
123,,50,123,,1
124,,51,124,,1
125,,51,125,,1
126,,51,126,,1
127,,53,127,,1
128,,53,128,,1
129,,53,129,,1
130,,54,130,,1
131,,54,131,,1
132,,54,132,,1
133,,57,133,,1
134,,57,134,,1
135,,57,135,,1
136,,57,136,,1
137,,57,137,,1
138,,58,138,,1
139,,58,139,,1
140,,62,140,,1
141,,62,141,,1
142,,62,142,,1
143,,63,143,,1
144,,63,144,,1
145,,63,145,,1
146,,63,146,,1
147,,63,147,,1
148,,64,148,,1
149,,64,149,,1
150,,64,150,,1
151,,64,151,,1
152,,64,152,,1
153,,65,153,,1
154,,65,154,,1
155,,65,155,,1
156,,67,156,,1
157,,67,157,,1
158,,67,158,,1
159,,68,159,,1
160,,68,160,,1
161,,70,161,,1
162,,70,162,,1
163,,70,163,,1
164,,71,164,,1
165,,71,165,,1
166,,71,166,,1
167,,72,167,,1
168,,72,168,,1
169,,72,169,,1
170,,75,170,,1
171,,75,171,,1
172,,75,172,,1
173,,76,173,,1
174,,76,174,,1
175,,76,175,,1
176,,77,176,,1
177,,77,177,,1
178,,78,178,,1
179,,78,179,,1
180,,78,180,,1
181,,79,83,,1
182,,79,84,,1
183,,79,85,,1
184,,85,181,,1
185,,85,182,,1
186,,85,183,,1
187,,87,184,,1
188,,87,185,,1
189,,87,186,,1
190,,87,187,,1
191,,87,188,,1
192,,87,189,,1
193,,89,39,,1
194,,89,40,,1
195,,89,41,,1
196,,90,190,,1
197,,90,191,,1
198,,90,192,,1
199,,91,193,,1
200,,91,194,,1
201,,91,195,,1
202,,91,190,,1
203,,91,196,,1
204,,91,197,,1
205,,91,198,,1
206,,91,199,,1
207,,91,200,,1
208,,91,201,,1
209,,91,191,,1
210,,91,192,,1
211,,91,202,,1
212,,91,203,,1
213,,93,204,,1
214,,93,205,,1
215,,93,206,,1
216,,93,207,,1
217,,93,208,,1
218,,94,209,,1
219,,94,210,,1
220,,94,211,,1
221,,94,212,,1
222,,94,213,,1
223,,94,214,,1
224,,95,215,,1
225,,95,216,,1
226,,95,217,,1
227,,95,218,,1
228,,95,219,,1
229,,100,220,,1
230,,100,221,,1
231,,100,222,,1
232,,101,223,,1
233,,101,224,,1
234,,101,225,,1
235,,102,226,,1
236,,102,227,,1
237,,102,228,,1
238,,103,229,,1
239,,103,230,,1
240,,103,231,,1
241,,104,232,,1
242,,104,233,,1
243,,104,234,,1
244,,105,235,,1
245,,105,236,,1
246,,105,237,,1
247,,106,238,,1
248,,106,239,,1
249,,109,240,,1
250,,109,241,,1
251,,109,242,,1
252,,110,243,,1
253,,110,244,,1
254,,110,245,,1
255,,113,246,,1
256,,113,247,,1
257,,115,248,,1
258,,115,249,,1
259,,115,250,,1
260,,117,251,,1
261,,117,252,,1
262,,117,253,,1
263,,119,254,,1
264,,119,255,,1
265,,119,256,,1
266,,121,257,,1
267,,121,258,,1
268,,121,259,,1
269,,123,260,,1
270,,123,261,,1
271,,123,262,,1
272,,126,263,,1
273,,126,264,,1
274,,127,265,,1
275,,127,266,,1
276,,128,267,,1
277,,129,268,,1
278,,129,269,,1
279,,129,270,,1
280,,130,271,,1
281,,130,272,,1
282,,133,273,,1
283,,133,274,,1
284,,134,275,,1
285,,134,276,,1
286,,134,277,,1
287,,135,278,,1
288,,135,279,,1
289,,135,280,,1
290,,138,281,,1
291,,138,282,,1
292,,138,283,,1
293,,139,284,,1
294,,139,285,,1
295,,140,286,,1
296,,140,287,,1
297,,141,278,,1
298,,141,279,,1
299,,141,280,,1
300,,142,288,,1
301,,142,289,,1
302,,145,290,,1
303,,145,291,,1
304,,147,292,,1
305,,147,293,,1
306,,147,294,,1
307,,148,295,,1
308,,148,296,,1
309,,148,297,,1
310,,149,298,,1
311,,149,299,,1
312,,149,300,,1
313,,150,301,,1
314,,150,302,,1
315,,150,303,,1
316,,151,304,,1
317,,151,305,,1
318,,151,306,,1
319,,152,307,,1
320,,152,308,,1
321,,152,309,,1
322,,153,278,,1
323,,153,279,,1
324,,153,280,,1
325,,154,310,,1
326,,154,311,,1
327,,154,312,,1
328,,154,313,,1
329,,154,314,,1
330,,154,315,,1
331,,157,316,,1
332,,157,317,,1
333,,157,318,,1
334,,158,319,,1
335,,158,320,,1
336,,158,321,,1
337,,159,322,,1
338,,159,323,,1
339,,159,324,,1
340,,168,325,,1
341,,169,326,,1
342,,169,327,,1
343,,169,328,,1
344,,171,329,,1
345,,171,330,,1
346,,171,331,,1
347,,172,332,,1
348,,172,333,,1
349,,172,334,,1
350,,173,335,,1
351,,173,336,,1
352,,173,337,,1
353,,174,338,,1
354,,174,339,,1
355,,174,340,,1
356,,175,341,,1
357,,175,342,,1
358,,175,343,,1
359,,176,344,,1
360,,176,345,,1
361,,176,346,,1
362,,178,347,,1
363,,178,348,,1
364,,178,349,,1
365,,180,350,,1
366,,180,351,,1
